"","AÑO","CONGLOME","DOMINIO","ESTRATO","LATITUD","LONGITUD","UBIGEO","AREA","C_DPTO","C_PROV"
"1","2020","005015","4",4,-6.23140239715576,-77.8671646118164,"010101",1,"01","0101"
"2","2020","005032","7",4,-5.6363639831543,-78.5270538330078,"010201",1,"01","0102"
"3","2020","005062","4",5,-6.18888568878174,-78.3271484375,"010502",1,"01","0105"
"4","2020","005063","4",5,-6.14349889755249,-77.9561767578125,"010501",1,"01","0105"
"5","2020","005091","7",6,-5.67595052719116,-78.4234848022461,"010203",1,"01","0102"
"6","2020","005124","4",7,-5.84281206130981,-77.9831924438477,"010306",2,"01","0103"
"7","2020","005127","4",7,-5.82287931442261,-77.8293533325195,"010304",2,"01","0103"
"8","2020","005149","4",7,-6.2436695098877,-77.56640625,"010114",2,"01","0101"
"9","2020","005159","4",7,-6.80349493026733,-77.9706268310547,"010103",2,"01","0101"
"10","2020","005168","7",8,-6.50990629196167,-77.5906524658203,"010605",2,"01","0106"
"11","2020","005170","2",2,-9.02385997772217,-78.6177139282227,"021803",1,"02","0218"
"12","2020","005173","2",2,-9.04335689544678,-78.5937194824219,"021801",1,"02","0218"
"13","2020","005218","2",5,-9.14824104309082,-78.2773056030273,"021806",1,"02","0218"
"14","2020","005224","2",4,-9.47830772399902,-78.2984161376953,"020801",1,"02","0208"
"15","2020","005242","5",8,-9.99305057525635,-77.7282867431641,"021102",2,"02","0211"
"16","2020","005258","5",3,-9.527663230896,-77.5246276855469,"020101",1,"02","0201"
"17","2020","005269","5",5,-9.04723644256592,-77.8032073974609,"021201",1,"02","0212"
"18","2020","005283","5",7,-8.68576526641846,-77.5924072265625,"021909",2,"02","0219"
"19","2020","005303","5",6,-9.02255249023438,-77.4709014892578,"022008",1,"02","0220"
"20","2020","005316","5",7,-9.32632350921631,-77.5526504516602,"020606",2,"02","0206"
"21","2020","005328","5",7,-9.19655132293701,-76.9968185424805,"020306",2,"02","0203"
"22","2020","005350","6",3,-13.632472038269,-72.8791198730469,"030101",1,"03","0301"
"23","2020","005357","6",3,-13.6406936645508,-72.8932266235352,"030101",1,"03","0301"
"24","2020","005365","6",4,-13.649001121521,-73.3627395629883,"030213",1,"03","0302"
"25","2020","005386","6",7,-13.4062471389771,-73.6673431396484,"030606",2,"03","0306"
"26","2020","005398","6",7,-13.4941234588623,-73.3587875366211,"030202",2,"03","0302"
"27","2020","005435","6",7,-13.6312093734741,-72.8375015258789,"030101",2,"03","0301"
"28","2020","005437","6",8,-13.9382495880127,-72.9022521972656,"030103",2,"03","0301"
"29","2020","005450","6",6,-14.3782157897949,-73.1612701416016,"030403",1,"03","0304"
"30","2020","005460","6",7,-14.1486625671387,-72.7486114501953,"030701",2,"03","0307"
"31","2020","005473","6",1,-16.3685855865479,-71.5719299316406,"040104",1,"04","0401"
"32","2020","005481","6",1,-16.3260517120361,-71.583984375,"040104",1,"04","0401"
"33","2020","005498","6",1,-16.4078407287598,-71.5350189208984,"040101",1,"04","0401"
"34","2020","005513","6",1,-16.3789253234863,-71.5525894165039,"040103",1,"04","0401"
"35","2020","005549","6",1,-16.4241981506348,-71.5141754150391,"040112",1,"04","0401"
"36","2020","005576","6",1,-16.434871673584,-71.552848815918,"040107",1,"04","0401"
"37","2020","005587","6",5,-15.2671699523926,-72.3404235839844,"040409",1,"04","0404"
"38","2020","005598","3",4,-16.5984306335449,-72.7046813964844,"040208",1,"04","0402"
"39","2020","005600","3",5,-16.4220867156982,-73.1068954467773,"040206",1,"04","0402"
"40","2020","005601","3",5,-16.569128036499,-72.7164993286133,"040205",1,"04","0402"
"41","2020","005659","6",7,-15.6768608093262,-72.4959259033203,"040408",2,"04","0404"
"42","2020","005675","6",6,-15.837797164917,-71.0903396606445,"040514",1,"04","0405"
"43","2020","005711","5",2,-13.1657590866089,-74.2241516113281,"050110",1,"05","0501"
"44","2020","005736","5",5,-13.0089015960693,-73.9803161621094,"050501",1,"05","0505"
"45","2020","005737","5",5,-13.0119829177856,-73.9814529418945,"050501",1,"05","0505"
"46","2020","005738","7",5,-12.8258838653564,-73.5927505493164,"050509",1,"05","0505"
"47","2020","005757","5",5,-14.7484846115112,-74.0793533325195,"050601",1,"05","0506"
"48","2020","005767","5",7,-12.7649593353271,-74.2545547485352,"050406",2,"05","0504"
"49","2020","005768","5",8,-12.7894353866577,-74.2346267700195,"050406",2,"05","0504"
"50","2020","005774","5",7,-13.0049705505371,-74.1845092773438,"050403",2,"05","0504"
"51","2020","005781","5",7,-13.3010988235474,-73.8652420043945,"050106",2,"05","0501"
"52","2020","005794","5",8,-13.1669569015503,-74.0621032714844,"050103",2,"05","0501"
"53","2020","005830","5",6,-14.3773546218872,-73.8920288085938,"050606",1,"05","0506"
"54","2020","005851","4",2,-7.13601303100586,-78.5251159667969,"060101",1,"06","0601"
"55","2020","005862","4",2,-7.16571283340454,-78.5091857910156,"060101",1,"06","0601"
"56","2020","005898","4",5,-6.67221879959106,-78.5302658081055,"060701",1,"06","0607"
"57","2020","005919","4",7,-5.76868486404419,-79.3116760253906,"060810",2,"06","0608"
"58","2020","005933","4",7,-6.30742740631104,-78.8841323852539,"060601",2,"06","0606"
"59","2020","005946","4",7,-6.5140233039856,-78.8835678100586,"060407",2,"06","0604"
"60","2020","005954","4",7,-6.42067384719849,-78.4826736450195,"060417",2,"06","0604"
"61","2020","005984","1",7,-6.88420915603638,-79.0812072753906,"061106",2,"06","0611"
"62","2020","005986","1",8,-7.64038896560669,-78.9597320556641,"060505",2,"06","0605"
"63","2020","006002","4",7,-7.13531160354614,-78.6618041992188,"060103",2,"06","0601"
"64","2020","006061","8",1,-11.8908710479736,-77.1108627319336,"070106",1,"07","0701"
"65","2020","006070","8",1,-11.8364496231079,-77.1641006469727,"070106",1,"07","0701"
"66","2020","006084","8",1,-12.0436630249023,-77.0973358154297,"070103",1,"07","0701"
"67","2020","006085","8",1,-12.0402126312256,-77.0925445556641,"070103",1,"07","0701"
"68","2020","006109","8",1,-11.9961347579956,-77.1189270019531,"070101",1,"07","0701"
"69","2020","006125","8",1,-12.0128593444824,-77.0981063842773,"070101",1,"07","0701"
"70","2020","006126","8",1,-12.014796257019,-77.0979690551758,"070101",1,"07","0701"
"71","2020","006128","8",1,-12.0161275863647,-77.0997009277344,"070101",1,"07","0701"
"72","2020","006135","8",1,-12.0277891159058,-77.0992584228516,"070101",1,"07","0701"
"73","2020","006166","8",1,-12.0544815063477,-77.1311721801758,"070101",1,"07","0701"
"74","2020","006187","6",2,-13.5361318588257,-71.9044036865234,"080104",1,"08","0801"
"75","2020","006210","6",2,-13.531774520874,-71.9832229614258,"080106",1,"08","0801"
"76","2020","006213","6",2,-13.5501174926758,-71.9858932495117,"080106",1,"08","0801"
"77","2020","006233","7",4,-12.8679151535034,-72.6913452148438,"080901",1,"08","0809"
"78","2020","006247","6",5,-13.6842985153198,-71.6247787475586,"081201",1,"08","0812"
"79","2020","006251","6",5,-14.4505481719971,-72.0822677612305,"080701",1,"08","0807"
"80","2020","006266","6",5,-13.9814939498901,-71.4183807373047,"080605",1,"08","0806"
"81","2020","006280","6",7,-12.9944486618042,-73.5004730224609,"080909",2,"08","0809"
"82","2020","006292","6",7,-13.2883281707764,-72.2475204467773,"081306",2,"08","0813"
"83","2020","006293","6",6,-13.3383836746216,-72.0651321411133,"081303",1,"08","0813"
"84","2020","006312","6",7,-13.4046764373779,-71.6637954711914,"081104",2,"08","0811"
"85","2020","006337","6",8,-14.2910060882568,-71.7022094726562,"080705",2,"08","0807"
"86","2020","006359","5",4,-12.7810144424438,-74.9720001220703,"090101",1,"09","0901"
"87","2020","006369","5",4,-12.7855529785156,-74.9747619628906,"090101",1,"09","0901"
"88","2020","006391","5",5,-12.6451101303101,-74.8614730834961,"090103",1,"09","0901"
"89","2020","006394","5",7,-12.0839395523071,-74.9010696411133,"090716",2,"09","0907"
"90","2020","006395","5",8,-12.1562204360962,-74.7349548339844,"090715",2,"09","0907"
"91","2020","006410","5",7,-12.3433036804199,-74.6076278686523,"090705",2,"09","0907"
